ID_OREGANO:18333	PHARMGKB	MESH	 SNOMEDCT	 UMLS	 NDFRT	 MEDDRA	SNOMEDCT	NDFRT	 MESH	MEDDRA	UMLS	ORPHANET	ICD-11	ICD-10	OMIM	GARD
DISEASE:262	PA443433	D001171	201800005;239796000;410502007;410795001;410796000	C0553662	N0000000481	10059177				10059177	C3495559	92	FA24		618795	
DISEASE:263	PA446198	D015535	200959009;33339001	C0003872	N0000003287	10003377										
DISEASE:264	PA445512	D016918	129133005;239783001	C0085435	N0000003510	10003267				10003267;10038294	C0085435	29207	FA11.2	M02.3		5693
DISEASE:265	PA443434	D001172	287010008;69896004	C0003873	N0000000482	10003268										
DISEASE:266	PA443435	D001176	111246005;205403009	C0003886	N0000000483	10051643					C0003886	109007	LD26.4			
DISEASE:267	PA165108709	D001102	186619002	C0003723	N0000000462	10003409										
DISEASE:268	PA165108340	D001183	402413008	C0003907	N0000000485	10003419										
DISEASE:269	PA443438	D001184	229719002	C0003910	N0000000486	10034925										
DISEASE:270	PA165108124	D001195	196006003	C0003949	N0000000487	10003441										
DISEASE:271	PA166048864							N0000000488								
DISEASE:272	PA166048834							N0000003545								
DISEASE:273	PA443442	D001201	207252009;207253004;271861000;389026000	C0003962	N0000000490	10003445										
DISEASE:274	PA166048796							N0000000491								
DISEASE:275	PA165108838	D054880;C538402	54954004	C0268225	N0000181095	10068220				10068220	C0268225;C2931840	93	5C56.21	E77.1	208400	5854
DISEASE:276	PA165108187	D020817	23560001	C0236792	N0000004201	10003484										
DISEASE:277	PA443444	D001228	65553006	C0004030	N0000000492	10003488				10003488	C0004030	1163	1F20;1F20.0;1F20.1	B44.0;B44.1;B44.2;B44.7;B44.8;B44.9		5856
DISEASE:278	PA443445	D001229	37981002	C0004031	N0000000493	10000244				10006474	C0004031	1164	CA82.4	B44.1+;J99.8*		602
DISEASE:279	PA443446	D001237	207550002;271877004;66466001	C0004044	N0000000494	10003496										
DISEASE:280	PA131285571			C1319853	N0000181214		407674008									
DISEASE:281	PA443448	D001247	13791008;274236006	C0004093	N0000000496	10003549										
DISEASE:282	PA443450	D001249	195967001;195979001;266365004	C0004096	N0000000498	10003553										
DISEASE:283	PA443451	D001250	31387002	C0004099	N0000000499	10003557										
DISEASE:284	PA443452	D001251	193626006;193627002;82649003	C0004106	N0000000500	10003569										
DISEASE:285	PA443453	D001254	254938000;38713004	C0004114	N0000000501	10003571				10003571	C0004114	94				
DISEASE:286	PA443454	D001259	20262006;274241003	C0004134	N0000000502	10003591										
DISEASE:287	PA443455	D001260	68504005	C0004135	N0000000503	10003594				10003594	C0004135	100	4A01.31	G11.3		5862
DISEASE:288	PA443457	D001264	44913001;58593005	C0004158	N0000000505	10003620										
DISEASE:289	PA165108360	D014593	9293002	C0042135	N0000003092	10003630										
DISEASE:290	PA443459	D001281	49436004	C0004238	N0000000507	10001434										
DISEASE:291	PA443460	D001282	5370000	C0004239	N0000000508	10003662										
DISEASE:292	PA446780	D018880	284470004;287057009;406461004;63593006	C0033036	N0000003870	10050077										
DISEASE:293	PA165109129	D054537	195043007	C0004245	N0000181014	10003671										
DISEASE:294	PA165108262	D054537	195040005	C0004245	N0000181014	10003671										
DISEASE:295	PA443461	D001284	13331008	C0333641	N0000000509	10003694										
DISEASE:296	PA166048724							N0000003971								
DISEASE:297	PA447197	D001289	192134009;31177006;406506008;7461003	C1263846	N0000000510	10001119										
DISEASE:298	PA165109124	D011016	15341009	C0032291	N0000010988											
DISEASE:299	PA153906318					10063844					C1510586;C0004352;C1968924				209850	
DISEASE:300	PA447198	D001321	191691000;408856003;408857007;43614003	C0004352	N0000000513	10003805										
DISEASE:301	PA443464	D001327	191006002;85828009	C0004364	N0000000514	10061664										
DISEASE:302	PA165108717	D000744	191215000	C0002880	N0000000388	10002046				10002046	C0002880	98375	3A20			5870
DISEASE:303	PA166131574	D015551														
DISEASE:304	PA443465	D001329	85811006	C0004372	N0000000515	10063392										
DISEASE:305	PA165108257	D020211	129618003	C0238015	N0000004049	10068196										
DISEASE:306	PA443466	D001342	15241006;267588005	C1145628	N0000000516	10003839										
DISEASE:307	PA165108866	D053360	27025001	C0406702	N0000181145						C0406702	248	LD27.02	Q82.4		2057
DISEASE:308	PA165108301	D005585	55604004	C0016627	N0000171617	10064097										
DISEASE:309	PA443467	D001353	407505002	C0004421	N0000000517											
DISEASE:310	PA165108834	D008289	1498006	C0024533	N0000001925											
DISEASE:311	PA165108220	D055761	41082000	C0276487												
DISEASE:312	PA165108964	D014379	371684009	C0041306	N0000003031											
DISEASE:313	PA443469	D001361		C0376286	N0000000519	10003862										
DISEASE:314	PA165108787	D013611	251166008	C0039232	N0000002889	10003682										
DISEASE:315	PA166048755							N0000000520								
DISEASE:316	PA165108270	D016917	58213005	C0085434	N0000003509	10002463										
DISEASE:317	PA443472	D001416	161891005;161897009;22913005;267984001	C0004604	N0000000522	10003978										
DISEASE:318	PA446327	D016470	207294007;311773008;5758002	C0004610	N0000003416	10003997										
DISEASE:319	PA443474	D001424	186335000;186470002;186472005;266187000;301811001;87628006	C0004623	N0000000524	10060945										
