ID_OREGANO:2129	REACTOME
PATHWAY:1531	R-HSA-5250955
PATHWAY:1532	R-HSA-5250968
PATHWAY:1533	R-HSA-5250981
PATHWAY:1534	R-HSA-5652227
PATHWAY:1535	R-HSA-3000497
PATHWAY:1536	R-HSA-173599
PATHWAY:1537	R-HSA-5579020
PATHWAY:1538	R-HSA-532668
PATHWAY:1539	R-HSA-901042
PATHWAY:154	R-HSA-2500257
PATHWAY:1540	R-HSA-194306
PATHWAY:1541	R-HSA-9645135
PATHWAY:1542	R-HSA-9702509
PATHWAY:1543	R-HSA-9702569
PATHWAY:1544	R-HSA-9702577
PATHWAY:1545	R-HSA-9702581
PATHWAY:1546	R-HSA-9702590
PATHWAY:1547	R-HSA-9702596
PATHWAY:1548	R-HSA-9702600
PATHWAY:1549	R-HSA-9702605
PATHWAY:155	R-HSA-5663220
PATHWAY:1550	R-HSA-9702614
PATHWAY:1551	R-HSA-9702620
PATHWAY:1552	R-HSA-9702624
PATHWAY:1553	R-HSA-9702632
PATHWAY:1554	R-HSA-9702636
PATHWAY:1555	R-HSA-9702998
PATHWAY:1556	R-HSA-9703009
PATHWAY:1557	R-HSA-9703648
PATHWAY:1558	R-HSA-9706374
PATHWAY:1559	R-HSA-9706377
PATHWAY:156	R-HSA-606279
PATHWAY:1560	R-HSA-434316
PATHWAY:1561	R-HSA-217271
PATHWAY:1562	R-HSA-5579019
PATHWAY:1563	R-HSA-8853383
PATHWAY:1564	R-HSA-428543
PATHWAY:1565	R-HSA-425381
PATHWAY:1566	R-HSA-193692
PATHWAY:1567	R-HSA-205043
PATHWAY:1568	R-HSA-9017802
PATHWAY:1569	R-HSA-9708296
PATHWAY:157	R-HSA-6783310
PATHWAY:1570	R-HSA-5619083
PATHWAY:1571	R-HSA-9694301
PATHWAY:1572	R-HSA-1912399
PATHWAY:1573	R-HSA-442380
PATHWAY:1574	R-HSA-2559584
PATHWAY:1575	R-HSA-162710
PATHWAY:1576	R-HSA-444473
PATHWAY:1577	R-HSA-110357
PATHWAY:1578	R-HSA-168928
PATHWAY:1579	R-HSA-113507
PATHWAY:158	R-HSA-68877
PATHWAY:1580	R-HSA-68689
PATHWAY:1581	R-HSA-373753
PATHWAY:1582	R-HSA-68952
PATHWAY:1583	R-HSA-420597
PATHWAY:1584	R-HSA-1483196
PATHWAY:1585	R-HSA-376176
PATHWAY:1586	R-HSA-9717264
PATHWAY:1587	R-HSA-9717301
PATHWAY:1588	R-HSA-9717316
PATHWAY:1589	R-HSA-9717319
PATHWAY:159	R-HSA-9648025
PATHWAY:1590	R-HSA-9717323
PATHWAY:1591	R-HSA-9717326
PATHWAY:1592	R-HSA-9717329
PATHWAY:1593	R-HSA-2142696
PATHWAY:1594	R-HSA-2142712
PATHWAY:1595	R-HSA-9018677
PATHWAY:1596	R-HSA-9025106
PATHWAY:1597	R-HSA-9026290
PATHWAY:1598	R-HSA-2142688
PATHWAY:1599	R-HSA-9018676
PATHWAY:16	R-HSA-198323
PATHWAY:160	R-HSA-1632852
PATHWAY:1600	R-HSA-9018896
PATHWAY:1601	R-HSA-9020265
PATHWAY:1602	R-HSA-9023661
PATHWAY:1603	R-HSA-9026286
PATHWAY:1604	R-HSA-9026403
PATHWAY:1605	R-HSA-9027604
PATHWAY:1606	R-HSA-5250982
PATHWAY:1607	R-HSA-2142770
PATHWAY:1608	R-HSA-5619076
PATHWAY:1609	R-HSA-8935690
PATHWAY:161	R-HSA-5620971
PATHWAY:1610	R-HSA-9033807
PATHWAY:1611	R-HSA-202433
PATHWAY:1612	R-HSA-210990
PATHWAY:1613	R-HSA-389356
PATHWAY:1614	R-HSA-389359
PATHWAY:1615	R-HSA-9032500
PATHWAY:1616	R-HSA-9670439
PATHWAY:1617	R-HSA-1855191
PATHWAY:1618	R-HSA-1482798
PATHWAY:1619	R-HSA-3274531
PATHWAY:162	R-HSA-917729
PATHWAY:1620	R-HSA-3229133
PATHWAY:1621	R-HSA-5357609
PATHWAY:1622	R-HSA-8851907
PATHWAY:1623	R-HSA-8865999
PATHWAY:1624	R-HSA-9028335
PATHWAY:1625	R-HSA-977444
PATHWAY:1626	R-HSA-480985
PATHWAY:1627	R-HSA-888568
PATHWAY:1628	R-HSA-9022927
PATHWAY:1629	R-HSA-167044
PATHWAY:163	R-HSA-9610379
PATHWAY:1630	R-HSA-5609977
PATHWAY:1631	R-HSA-70370
PATHWAY:1632	R-HSA-6787450
PATHWAY:1633	R-HSA-5609976
PATHWAY:1634	R-HSA-2206290
PATHWAY:1635	R-HSA-110320
PATHWAY:1636	R-HSA-5609978
PATHWAY:1637	R-HSA-9603505
PATHWAY:1638	R-HSA-8964208
PATHWAY:1639	R-HSA-8956319
PATHWAY:164	R-HSA-9668328
PATHWAY:1640	R-HSA-9022538
